year_month,period,repo_count,total_stars,total_forks,total_issues
2021-01,Before,13475,174689,38506,5531
2021-02,Before,12098,144870,26442,4624
2021-03,Before,13507,307979,63189,6345
2021-04,Before,13315,105216,20306,5244
2021-05,Before,15082,121163,23871,4624
2021-06,Before,15529,134784,21498,4341
2021-07,Before,14282,154834,22255,10091
2021-08,Before,12655,205859,29090,6537
2021-09,Before,12613,94538,16147,4147
2021-10,Before,12959,231545,34717,4779
2021-11,Before,12902,97074,17825,4273
2021-12,Before,12453,107257,21723,3756
2022-01,Before,13862,94188,16431,3615
2022-02,Before,12804,157691,23475,5883
2022-03,Before,14244,206178,34726,5787
2022-04,Before,14054,126193,19033,4932
2022-05,Before,15144,178173,29348,6453
2022-06,Before,14126,105551,23165,4520
2022-07,Before,14615,178424,21571,5278
2022-08,Before,14240,390264,61214,7992
2022-09,Before,15616,197856,32057,5162
2022-10,Before,16012,300723,47547,4872
2022-11,After,542,17414,1706,262
2022-11,Before,14706,268882,37546,4894
2022-12,After,17353,764913,112560,10342
2023-01,After,20869,291739,43236,6096
2023-02,After,23202,821896,126199,20467
2023-03,After,35233,1745336,327518,25082
2023-04,After,36122,1049083,148785,22426
2023-05,After,34366,937175,138671,18608
2023-06,After,29489,974254,163326,19276
2023-07,After,29854,565226,70547,14032
2023-08,After,28494,542068,64216,14456
2023-09,After,31821,355502,47458,14399
2023-10,After,35753,439965,63399,17571
2023-11,After,35425,360366,51835,17725
2023-12,After,34841,288771,36467,18809
2024-01,After,37431,348990,45158,16792
2024-02,After,37415,311603,46759,13765
2024-03,After,42110,411288,54247,16539
2024-04,After,38651,501701,64825,14766
2024-05,After,41454,385803,46559,13354
2024-06,After,39309,256982,38967,12508
2024-07,After,37914,384293,63242,10403
2024-08,After,34865,289012,40569,7432
2024-09,After,37245,229637,28383,8522
2024-10,After,37425,332591,45590,9091
2024-11,After,37570,279066,41537,8065
2024-12,After,39399,268795,40838,7898
2025-01,After,47364,316483,45533,12082
2025-02,After,49720,306790,44867,9199
2025-03,After,57845,485606,77971,14691
2025-04,After,60295,374646,53258,18312
2025-05,After,64773,244116,35794,16005
2025-06,After,69433,283123,39463,15977
2025-07,After,74538,176204,26075,16172
2025-08,After,78260,104626,14506,13338
2025-09,After,72439,82578,13605,18464
2025-10,After,78760,115624,15837,16086
2025-11,After,31634,7050,1255,5042
